"Order_ID","Order_Date","Customer_ID","Product_ID","Category","Sub-Category","Product_Name","Sales","Quantity","Discount","Profit"
"CA-2016-152156","2016-11-08","CG-12520","FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase","261.96","2","0.0","41.91"
"CA-2016-152156","2016-11-08","CG-12520","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs Rounded Back","731.94","3","0.0","219.58"
"CA-2016-138688","2016-06-12","DV-13045","OFF-LA-10000240","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal","14.62","2","0.0","6.87"
"US-2015-108966","2015-10-11","SO-20335","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","957.58","5","0.45","-383.03"
"US-2015-108966","2015-10-11","SO-20335","OFF-ST-10000760","Office Supplies","Storage","Eldon Fold 'N Roll Cart System","22.37","2","0.2","2.52"
"CA-2014-115812","2014-06-09","BH-11710","FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories Cherry Wood","48.86","7","0.0","14.17"
"CA-2014-115812","2014-06-09","BH-11710","OFF-AR-10002833","Office Supplies","Art","Newell 322","7.28","4","0.0","1.97"
"CA-2014-115812","2014-06-09","BH-11710","TEC-PH-10002275","Technology","Phones","Mitel 5320 IP Phone VoIP phone","907.15","6","0.2","90.72"
"CA-2014-115812","2014-06-09","BH-11710","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill","18.5","3","0.2","5.78"
"CA-2014-115812","2014-06-09","BH-11710","OFF-AP-10002892","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge","114.9","5","0.0","34.47"
"CA-2014-115812","2014-06-09","BH-11710","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables","1706.18","9","0.2","85.31"
"CA-2014-115812","2014-06-09","BH-11710","TEC-PH-10002033","Technology","Phones","Konftel 250 ConferenceÂ phoneÂ - Charcoal black","911.42","4","0.2","68.36"
"CA-2017-114412","2017-04-15","AA-10480","OFF-PA-10002365","Office Supplies","Paper","Xerox 1967","15.55","3","0.2","5.44"
"CA-2016-161389","2016-12-05","IM-15070","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine","407.98","3","0.2","132.59"
"US-2015-118983","2015-11-22","HP-14815","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner Very Large Room HEPA Filter","68.81","5","0.8","-123.86"
"US-2015-118983","2015-11-22","HP-14815","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders","2.54","3","0.8","-3.82"
"CA-2014-105893","2014-11-11","PK-19075","OFF-ST-10004186","Office Supplies","Storage","Stur-D-Stor Shelving Vertical 5-Shelf: 72H x 36W x 18 1/2D","665.88","6","0.0","13.32"
"CA-2014-167164","2014-05-13","AG-10270","OFF-ST-10000107","Office Supplies","Storage","Fellowes Super Stor/Drawer","55.5","2","0.0","9.99"
"CA-2014-143336","2014-08-27","ZD-21925","OFF-AR-10003056","Office Supplies","Art","Newell 341","8.56","2","0.0","2.48"
"CA-2014-143336","2014-08-27","ZD-21925","TEC-PH-10001949","Technology","Phones","Cisco SPA 501G IP Phone","213.48","3","0.2","16.01"
"CA-2014-143336","2014-08-27","ZD-21925","OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder White 1","22.72","4","0.2","7.38"
"CA-2016-137330","2016-12-09","KB-16585","OFF-AR-10000246","Office Supplies","Art","Newell 318","19.46","7","0.0","5.06"
"CA-2016-137330","2016-12-09","KB-16585","OFF-AP-10001492","Office Supplies","Appliances","Acco Six-Outlet Power Strip 4' Cord Length","60.34","7","0.0","15.69"
"US-2017-156909","2017-07-16","SF-20065","FUR-CH-10002774","Furniture","Chairs","Global Deluxe Stacking Chair Gray","71.37","2","0.3","-1.02"
"CA-2015-106320","2015-09-25","EB-13870","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","1044.63","3","0.0","240.26"
"CA-2016-121755","2016-01-16","EH-13945","OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders","11.65","2","0.2","4.22"
"CA-2016-121755","2016-01-16","EH-13945","TEC-AC-10003027","Technology","Accessories","ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive","90.57","3","0.0","11.77"
"US-2015-150630","2015-09-17","TB-21520","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase Royale Cherry Finish","3083.43","7","0.5","-1665.05"
"US-2015-150630","2015-09-17","TB-21520","OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems","9.62","2","0.7","-7.05"
"US-2015-150630","2015-09-17","TB-21520","FUR-FU-10004848","Furniture","Furnishings","Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock","124.2","3","0.2","15.53"
"US-2015-150630","2015-09-17","TB-21520","OFF-EN-10001509","Office Supplies","Envelopes","Poly String Tie Envelopes","3.26","2","0.2","1.1"
"US-2015-150630","2015-09-17","TB-21520","OFF-AR-10004042","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners Putty/Woodgrain","86.3","6","0.2","9.71"
"US-2015-150630","2015-09-17","TB-21520","OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks 14 7/8 x 11 Executive Red","6.86","6","0.7","-5.72"
"US-2015-150630","2015-09-17","TB-21520","OFF-AR-10001683","Office Supplies","Art","Lumber Crayons","15.76","2","0.2","3.55"
"CA-2017-107727","2017-10-19","MA-17560","OFF-PA-10000249","Office Supplies","Paper","Easy-staple paper","29.47","3","0.2","9.95"
